Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Furnishing,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,furnishing_label,amenities_count,size_category,occupancy_demand
37025,39,3,1,1,1,1,1,Semi Furnished,4.2,2428,1,1,1,1,1,1,9,1,2
3304,14,1,1,0,1,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0,3,0,2
11424,19,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,0,0,5,0,2
50606,45,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
86708,48,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
5758,14,1,1,1,0,0,0,Unfurnished,5,2,1,0,0,1,1,0,4,0,2
67498,41,3,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
13221,28,1,1,1,1,0,1,Unfurnished,3.6,20,1,0,0,1,0,0,5,0,2
46176,36,1,1,1,1,0,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,6,1,2
61682,42,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
78392,59,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
91789,57,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
23558,29,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,0,1,0,0,4,0,2
136048,86,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
22463,34,1,1,1,1,0,1,Unfurnished,4.7,185,1,1,1,1,1,0,8,1,2
122645,118,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
27683,26,2,1,1,1,0,1,Unfurnished,4.5,152,1,0,0,0,0,0,4,0,2
40518,33,1,1,1,1,1,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,7,1,2
85052,43,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
99576,60,3,2,1,1,1,1,Fully Furnished,4.4,120,1,1,1,1,1,2,9,2,2
2711,24,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0,3,0,2
41279,33,1,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
17264,20,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,0,0,5,0,2
99841,55,5,1,1,1,1,1,Fully Furnished,4.4,165,1,1,1,1,1,2,9,2,1
21246,33,1,1,1,1,0,0,Unfurnished,5,3,1,1,0,0,1,0,5,1,2
142614,85,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
23448,33,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,0,0,1,0,6,1,2
127705,76,4,2,1,1,1,1,Fully Furnished,4.5,13,1,1,1,1,1,2,9,3,0
108998,80,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
82613,42,3,1,1,1,1,1,Fully Furnished,4.4,120,1,1,1,1,1,2,9,1,2
101883,52,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
90840,40,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
137504,64,5,2,1,1,1,1,Fully Furnished,5,6,1,1,1,1,1,2,9,2,1
40745,33,3,1,1,1,1,1,Semi Furnished,4.4,37,1,1,0,1,1,1,8,1,2
26986,26,2,1,1,1,0,0,Unfurnished,4.7,185,1,1,0,0,1,0,5,0,2
10998,22,1,1,0,1,0,0,Unfurnished,4.3,65,1,1,0,0,1,0,4,0,2
14918,22,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0,3,0,2
114875,99,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
12041,14,0,1,1,0,0,0,Unfurnished,4.3,66.5,0,1,0,0,1,0,3,0,2
113657,57,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
135434,56,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
22372,32,2,1,1,1,0,0,Unfurnished,4.4,77,1,1,0,0,0,0,4,1,2
149724,107,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
124745,93,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
99259,46,3,1,1,1,1,1,Fully Furnished,4.2,1574,1,1,1,1,1,2,9,1,2
121933,117,5,3,1,1,1,1,Fully Furnished,3.9,58,1,1,1,1,1,2,9,3,0
123727,111,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
63742,37,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
104950,111,6,3,1,1,1,1,Fully Furnished,4.5,152,1,1,1,1,1,2,9,3,1
19441,24,1,1,1,1,0,1,Unfurnished,4.3,66.5,0,0,1,0,0,0,4,0,2
92736,57,5,2,1,1,1,1,Fully Furnished,4,3,1,1,1,1,1,2,9,2,1
47512,34,1,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1,7,1,2
92879,54,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
127196,68,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
126121,115,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
53085,37,2,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
101312,64,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
88988,58,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,2
19555,21,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,1,1,0,4,0,2
121267,113,6,2,1,1,1,1,Fully Furnished,4.2,1574,1,1,1,1,1,2,9,3,1
129791,56,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
36820,32,1,1,1,1,0,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1,7,1,2
141428,94,5,2,1,1,1,1,Fully Furnished,4.5,839,1,1,1,1,1,2,9,3,0
32972,28,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,1,1,0,0,5,0,2
124064,109,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
96058,50,5,1,1,1,1,1,Fully Furnished,4.4,34,1,1,1,1,1,2,9,2,1
93403,47,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
106057,108,5,2,1,1,1,1,Fully Furnished,3.7,41,1,1,1,1,1,2,9,3,0
94135,42,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
41264,34,2,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1,7,1,2
110888,97,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
76623,47,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
11133,25,1,1,1,1,0,0,Unfurnished,4.6,5,0,1,1,1,0,0,5,0,2
62352,43,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
49725,30,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1,8,1,2
62193,44,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
132525,104,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
74075,44,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
106069,110,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
93108,46,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
116400,59,4,2,1,1,1,1,Fully Furnished,3.8,65,1,1,1,1,1,2,9,2,0
103657,85,4,2,1,1,1,1,Fully Furnished,4,136,1,1,1,1,1,2,9,3,1
11265,23,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,0,1,0,0,4,0,2
65151,38,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
7669,21,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,0,1,0,1,0,4,0,2
146511,85,5,3,1,1,1,1,Fully Furnished,4,11,1,1,1,1,1,2,9,3,0
46149,31,1,1,1,1,1,1,Semi Furnished,4.5,6377,1,1,0,1,1,1,8,1,2
14699,20,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,1,0,1,0,7,0,2
46275,39,1,1,1,1,1,1,Semi Furnished,4.5,152,1,1,0,1,1,1,8,1,2
5382,19,0,1,0,1,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0,3,0,2
75504,42,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
75967,58,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,2
32654,33,2,1,1,1,0,1,Unfurnished,4.3,66.5,1,0,1,0,0,0,5,1,2
94442,52,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
53677,38,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
93334,53,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
27373,33,2,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,1,1,0,6,1,2
62340,42,2,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
20222,32,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,0,1,1,1,0,7,1,2
100784,86,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
9439,20,1,1,0,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,1,0,5,0,2
140663,79,4,3,1,1,1,1,Fully Furnished,4.5,348,1,1,1,1,1,2,9,3,0
116138,90,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
144430,83,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
114869,63,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
20631,33,2,1,1,1,0,0,Unfurnished,4.7,185,1,1,0,0,0,0,4,1,2
19926,26,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,1,0,1,0,0,4,0,2
47540,31,2,2,1,1,0,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1,7,1,2
68574,36,2,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
134770,96,5,3,1,1,1,1,Fully Furnished,5,2,1,1,1,1,1,2,9,3,0
89305,53,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
80070,49,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
53728,43,2,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
6502,25,1,1,1,0,0,0,Unfurnished,4.2,185,1,1,0,0,0,0,3,0,2
94886,48,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
47109,40,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,7,1,2
30361,28,1,1,1,1,0,1,Unfurnished,5,2,1,1,0,0,0,0,5,0,2
66767,37,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
107098,59,5,2,1,1,1,1,Fully Furnished,4.8,16,1,1,1,1,1,2,9,2,1
5810,23,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,1,1,1,0,0,5,0,2
103437,99,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
125408,53,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
139760,105,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
108438,60,6,2,1,1,1,1,Fully Furnished,5,1,1,1,1,1,1,2,9,2,1
11903,17,1,1,0,0,0,0,Unfurnished,4.3,66.5,0,1,1,1,0,0,3,0,2
66284,36,2,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
81988,60,5,2,1,1,1,1,Fully Furnished,4.6,8478,1,1,1,1,1,2,9,2,2
96914,50,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
9795,17,1,1,1,0,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0,3,0,2
68804,42,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
98193,58,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
129050,108,5,2,1,1,1,1,Fully Furnished,4.4,165,1,1,1,1,1,2,9,3,1
113826,78,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
60813,44,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
109888,96,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
119450,94,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
89612,58,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
112477,68,4,2,1,1,1,1,Fully Furnished,4.1,36,1,1,1,1,1,2,9,2,1
22225,30,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,1,0,0,5,1,2
103192,90,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
139587,77,5,2,1,1,1,1,Fully Furnished,5,3,1,1,1,1,1,2,9,3,0
93483,53,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
81828,56,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
9297,24,0,1,0,0,0,0,Unfurnished,4.3,66.5,0,1,1,0,0,0,2,0,2
3344,13,1,1,0,0,0,0,Unfurnished,4.3,66.5,1,0,1,1,1,0,4,0,2
114855,113,5,2,1,1,1,1,Fully Furnished,4.7,185,1,1,1,1,1,2,9,3,1
48446,40,3,1,1,1,1,1,Semi Furnished,4.5,839,1,1,0,1,1,1,8,1,2
148821,95,4,3,1,1,1,1,Fully Furnished,4.5,75,1,1,1,1,1,2,9,3,0
93879,41,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
141983,89,5,2,1,1,1,1,Fully Furnished,4.4,44,1,1,1,1,1,2,9,3,0
112936,115,5,2,1,1,1,1,Fully Furnished,4.3,375,1,1,1,1,1,2,9,3,1
70195,46,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
99236,48,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
119020,118,5,3,1,1,1,1,Fully Furnished,4.2,33,1,1,1,1,1,2,9,3,0
6264,18,0,1,0,1,0,0,Unfurnished,4.3,66.5,0,1,0,0,1,0,3,0,2
53580,45,2,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
88503,45,4,1,1,1,1,1,Fully Furnished,4.2,35,1,1,1,1,1,2,9,1,2
133786,56,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
132215,78,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
113297,80,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
37086,30,2,2,1,1,0,1,Semi Furnished,4.6,16,1,1,1,1,1,1,8,1,2
102388,59,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
88192,60,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
21056,28,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,1,1,0,6,0,2
109640,113,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
126298,108,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
56024,36,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
92322,41,4,1,1,1,1,1,Fully Furnished,1,1,1,1,1,1,1,2,9,1,2
134829,86,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
128324,86,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
102908,80,5,3,1,1,1,1,Fully Furnished,4.4,120,1,1,1,1,1,2,9,3,0
93803,57,5,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
8667,25,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,1,1,0,0,5,0,2
108006,58,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
93911,55,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
40855,39,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
71880,48,4,2,1,1,1,1,Semi Furnished,4.4,11,1,1,1,1,1,1,9,1,2
52629,41,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
2679,21,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,0,1,0,0,0,3,0,2
67851,38,2,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
90827,49,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
4120,12,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,1,0,1,1,0,5,0,2
101963,117,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
15510,23,1,1,1,1,0,1,Unfurnished,3.9,87,1,1,0,1,1,0,7,0,2
82860,51,3,1,1,1,1,1,Fully Furnished,4.4,165,1,1,1,1,1,2,9,2,1
141252,78,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
124737,51,5,3,1,1,1,1,Fully Furnished,3.9,87,1,1,1,1,1,2,9,2,1
91198,58,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,2
22591,25,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,0,1,1,0,5,0,2
4608,17,0,1,0,0,0,0,Unfurnished,4.3,66.5,1,1,1,1,0,0,4,0,2
38303,31,2,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
9602,16,1,1,1,1,0,0,Unfurnished,4.5,152,1,1,1,1,0,0,6,0,2
68650,45,4,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
97370,49,3,2,1,1,1,1,Fully Furnished,4.5,839,1,1,1,1,1,2,9,1,2
119928,61,5,3,1,1,1,1,Fully Furnished,4.3,192,1,1,1,1,1,2,9,2,1
132208,54,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
149170,87,6,3,1,1,1,1,Fully Furnished,4.5,13,1,1,1,1,1,2,9,3,0
55890,37,4,2,1,1,1,1,Semi Furnished,4,3,1,1,1,1,1,1,9,1,2
82387,55,5,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,2
94994,48,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
2838,18,1,1,1,0,0,0,Unfurnished,4.5,839,1,0,1,1,1,0,5,0,2
74890,59,3,2,1,1,1,1,Semi Furnished,4.3,396,1,1,1,1,1,1,9,2,1
46461,35,3,2,1,1,0,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1,7,1,2
47780,40,1,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
108783,77,5,3,1,1,1,1,Fully Furnished,4.7,185,1,1,1,1,1,2,9,3,0
15035,26,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,1,0,0,0,3,0,2
60235,44,4,2,1,1,1,1,Semi Furnished,4.3,65,1,1,1,1,1,1,9,1,2
123695,99,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
51020,35,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
74531,44,5,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
128250,84,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
119835,114,4,2,1,1,1,1,Fully Furnished,4,23,1,1,1,1,1,2,9,3,0
100934,89,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
74294,48,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
90833,41,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
26303,32,1,1,1,1,0,0,Unfurnished,4.2,85,1,1,1,0,1,0,6,1,2
8077,14,0,1,1,1,0,0,Unfurnished,4.6,16,1,1,0,1,1,0,6,0,2
27358,35,2,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,0,1,0,0,6,1,2
85074,41,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
80304,48,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
127937,61,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
72753,42,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
56812,40,2,1,1,1,1,1,Semi Furnished,4.2,85,1,1,1,1,1,1,9,1,2
96045,42,5,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
147799,79,6,3,1,1,1,1,Fully Furnished,4.5,152,1,1,1,1,1,2,9,3,0
15361,20,0,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,1,0,0,0,4,0,2
105818,96,6,3,1,1,1,1,Fully Furnished,4.4,165,1,1,1,1,1,2,9,3,1
102045,72,4,3,1,1,1,1,Fully Furnished,4,23,1,1,1,1,1,2,9,2,1
15366,26,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0,3,0,2
31020,30,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,0,0,1,0,6,1,2
126021,55,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
81160,43,4,1,1,1,1,1,Fully Furnished,4.3,396,1,1,1,1,1,2,9,1,2
52773,44,2,1,1,1,0,1,Semi Furnished,3.8,31,1,1,1,1,1,1,8,1,2
82021,42,3,2,1,1,1,1,Fully Furnished,4.3,396,1,1,1,1,1,2,9,1,2
86419,60,5,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
61361,42,2,1,1,1,0,1,Semi Furnished,4.3,396,1,1,1,1,1,1,8,1,2
87910,56,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,2
136833,98,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
32072,28,2,1,1,1,0,1,Unfurnished,4.3,66.5,1,0,1,0,1,0,6,0,2
32149,32,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,0,0,0,4,1,2
39056,35,1,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
60077,42,2,1,1,1,0,1,Semi Furnished,4.1,43,1,1,1,1,1,1,8,1,2
