Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Furnishing,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,furnishing_label,price_per_sqm,amenities_count,size_category,occupancy_demand
99259,46,3,1,1,1,2,1,Fully Furnished,4.2,1574.0,1,1,1,1,1,2,2157.804347826087,10,1,2
121933,117,5,3,1,1,1,1,Fully Furnished,3.9,58.0,1,1,1,1,1,2,1042.162393162393,9,3,0
123727,111,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1114.6576576576576,9,3,1
63742,37,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1722.7567567567567,9,1,2
104950,111,6,3,1,1,2,1,Fully Furnished,4.5,152.0,1,1,1,1,1,2,945.4954954954954,10,3,1
19441,24,1,1,1,1,0,1,Unfurnished,4.3,66.5,0,0,1,0,0,0,810.0416666666666,4,0,2
92736,57,5,2,1,1,2,1,Fully Furnished,4.0,3.0,1,1,1,1,1,2,1626.9473684210527,10,2,1
47512,34,1,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1,1397.4117647058824,7,1,2
92879,54,3,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1719.9814814814815,10,2,1
127196,68,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1870.5294117647059,10,2,1
126121,115,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1096.7043478260869,9,3,1
53085,37,2,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1434.7297297297298,9,1,2
101312,64,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1583.0,9,2,1
88988,58,4,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1534.2758620689656,10,2,2
19555,21,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,1,1,0,931.1904761904761,4,0,2
121267,113,6,2,1,1,2,1,Fully Furnished,4.2,1574.0,1,1,1,1,1,2,1073.1592920353983,10,3,1
129791,56,6,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2317.6964285714284,10,2,1
36820,32,1,1,1,1,0,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1,1150.625,7,1,2
141428,94,5,2,1,1,2,1,Fully Furnished,4.5,839.0,1,1,1,1,1,2,1504.5531914893618,10,3,0
32972,28,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,1,1,0,0,1177.5714285714287,5,0,2
124064,109,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1138.2018348623853,10,3,1
96058,50,5,1,1,1,2,1,Fully Furnished,4.4,34.0,1,1,1,1,1,2,1921.16,10,2,1
93403,47,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1987.2978723404256,9,1,2
106057,108,5,2,1,1,2,1,Fully Furnished,3.7,41.0,1,1,1,1,1,2,982.0092592592592,10,3,0
94135,42,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2241.309523809524,9,1,2
41264,34,2,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1,1213.6470588235295,7,1,2
110888,97,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1143.1752577319587,9,3,1
76623,47,4,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1630.276595744681,10,1,2
11133,25,1,1,1,1,0,0,Unfurnished,4.6,5.0,0,1,1,1,0,0,445.32,5,0,2
62352,43,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1450.046511627907,9,1,2
49725,30,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1,1657.5,8,1,2
62193,44,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1413.4772727272727,8,1,2
132525,104,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1274.2788461538462,9,3,0
74075,44,4,1,1,1,2,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1683.5227272727273,10,1,2
106069,110,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,964.2636363636364,9,3,1
93108,46,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2024.0869565217392,10,1,2
116400,59,4,2,1,1,1,1,Fully Furnished,3.8,65.0,1,1,1,1,1,2,1972.8813559322034,9,2,0
103657,85,4,2,1,1,2,1,Fully Furnished,4.0,136.0,1,1,1,1,1,2,1219.4941176470588,10,3,1
11265,23,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,0,1,0,0,489.7826086956522,4,0,2
65151,38,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1714.5,9,1,2
7669,21,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,0,1,0,1,0,365.1904761904762,4,0,2
146511,85,5,3,1,1,1,1,Fully Furnished,4.0,11.0,1,1,1,1,1,2,1723.6588235294118,9,3,0
46149,31,1,1,1,1,1,1,Semi Furnished,4.5,6377.0,1,1,0,1,1,1,1488.6774193548388,8,1,2
14699,20,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,1,0,1,0,734.95,7,0,2
46275,39,1,1,1,1,1,1,Semi Furnished,4.5,152.0,1,1,0,1,1,1,1186.5384615384614,8,1,2
5382,19,0,1,0,1,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0,283.2631578947368,3,0,2
75504,42,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1797.7142857142858,10,1,2
75967,58,3,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1309.7758620689656,10,2,2
32654,33,2,1,1,1,0,1,Unfurnished,4.3,66.5,1,0,1,0,0,0,989.5151515151515,5,1,2
94442,52,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1816.1923076923076,9,2,1
53677,38,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1412.5526315789473,8,1,2
93334,53,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1761.0188679245282,10,2,1
27373,33,2,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,1,1,0,829.4848484848485,6,1,2
62340,42,2,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1484.2857142857142,8,1,2
20222,32,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,0,1,1,1,0,631.9375,7,1,2
100784,86,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1171.906976744186,10,3,1
9439,20,1,1,0,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,1,0,471.95,5,0,2
140663,79,4,3,1,1,2,1,Fully Furnished,4.5,348.0,1,1,1,1,1,2,1780.5443037974683,10,3,0
116138,90,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1290.4222222222222,9,3,0
144430,83,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1740.120481927711,9,3,0
114869,63,6,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1823.3174603174602,10,2,1
20631,33,2,1,1,1,0,0,Unfurnished,4.7,185.0,1,1,0,0,0,0,625.1818181818181,4,1,2
19926,26,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,1,0,1,0,0,766.3846153846154,4,0,2
47540,31,2,2,1,1,0,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1,1533.5483870967741,7,1,2
68574,36,2,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1904.8333333333333,8,1,2
134770,96,5,3,1,1,2,1,Fully Furnished,5.0,2.0,1,1,1,1,1,2,1403.8541666666667,10,3,0
89305,53,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1685.0,9,2,1
80070,49,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1634.0816326530612,9,1,2
53728,43,2,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1249.4883720930231,9,1,2
6502,25,1,1,1,0,0,0,Unfurnished,4.2,185.0,1,1,0,0,0,0,260.08,3,0,2
94886,48,4,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1976.7916666666667,10,1,2
47109,40,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,1177.725,7,1,2
30361,28,1,1,1,1,0,1,Unfurnished,5.0,2.0,1,1,0,0,0,0,1084.3214285714287,5,0,2
66767,37,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1804.5135135135135,9,1,2
107098,59,5,2,1,1,1,1,Fully Furnished,4.8,16.0,1,1,1,1,1,2,1815.2203389830509,9,2,1
5810,23,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,1,1,1,0,0,252.6086956521739,5,0,2
103437,99,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1044.8181818181818,9,3,1
125408,53,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2366.188679245283,9,2,1
139760,105,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1331.047619047619,10,3,0
108438,60,6,2,1,1,2,1,Fully Furnished,5.0,1.0,1,1,1,1,1,2,1807.3,10,2,1
11903,17,1,1,0,0,0,0,Unfurnished,4.3,66.5,0,1,1,1,0,0,700.1764705882352,3,0,2
66284,36,2,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1841.2222222222222,9,1,2
81988,60,5,2,1,1,2,1,Fully Furnished,4.6,8478.0,1,1,1,1,1,2,1366.4666666666667,10,2,2
96914,50,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1938.28,10,2,1
9795,17,1,1,1,0,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0,576.1764705882352,3,0,2
68804,42,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1638.1904761904761,8,1,2
98193,58,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1692.9827586206898,9,2,1
129050,108,5,2,1,1,1,1,Fully Furnished,4.4,165.0,1,1,1,1,1,2,1194.9074074074074,9,3,1
113826,78,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1459.3076923076924,9,3,0
60813,44,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1382.1136363636363,9,1,2
109888,96,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1144.6666666666667,9,3,1
119450,94,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1270.7446808510638,9,3,0
89612,58,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1545.0344827586207,9,2,1
112477,68,4,2,1,1,2,1,Fully Furnished,4.1,36.0,1,1,1,1,1,2,1654.0735294117646,10,2,1
22225,30,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,1,0,0,740.8333333333334,5,1,2
103192,90,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1146.5777777777778,10,3,1
139587,77,5,2,1,1,2,1,Fully Furnished,5.0,3.0,1,1,1,1,1,2,1812.8181818181818,10,3,0
93483,53,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1763.8301886792453,10,2,1
81828,56,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1461.2142857142858,9,2,1
9297,24,0,1,0,0,0,0,Unfurnished,4.3,66.5,0,1,1,0,0,0,387.375,2,0,2
3344,13,1,1,0,0,0,0,Unfurnished,4.3,66.5,1,0,1,1,1,0,257.2307692307692,4,0,2
114855,113,5,2,1,1,1,1,Fully Furnished,4.7,185.0,1,1,1,1,1,2,1016.4159292035398,9,3,1
48446,40,3,1,1,1,1,1,Semi Furnished,4.5,839.0,1,1,0,1,1,1,1211.15,8,1,2
148821,95,4,3,1,1,1,1,Fully Furnished,4.5,75.0,1,1,1,1,1,2,1566.536842105263,9,3,0
93879,41,3,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2289.731707317073,10,1,2
141983,89,5,2,1,1,1,1,Fully Furnished,4.4,44.0,1,1,1,1,1,2,1595.314606741573,9,3,0
112936,115,5,2,1,1,2,1,Fully Furnished,4.3,375.0,1,1,1,1,1,2,982.0521739130435,10,3,1
70195,46,3,2,1,1,2,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1525.9782608695652,10,1,2
99236,48,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2067.4166666666665,10,1,2
119020,118,5,3,1,1,1,1,Fully Furnished,4.2,33.0,1,1,1,1,1,2,1008.6440677966102,9,3,0
6264,18,0,1,0,1,0,0,Unfurnished,4.3,66.5,0,1,0,0,1,0,348.0,3,0,2
53580,45,2,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1190.6666666666667,8,1,2
88503,45,4,1,1,1,2,1,Fully Furnished,4.2,35.0,1,1,1,1,1,2,1966.7333333333333,10,1,2
133786,56,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2389.035714285714,9,2,1
132215,78,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1695.0641025641025,10,3,0
113297,80,6,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1416.2125,10,3,0
37086,30,2,2,1,1,0,1,Semi Furnished,4.6,16.0,1,1,1,1,1,1,1236.2,8,1,2
102388,59,5,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1735.3898305084747,10,2,1
88192,60,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1469.8666666666666,9,2,1
21056,28,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,1,1,0,752.0,6,0,2
109640,113,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,970.2654867256637,9,3,1
126298,108,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1169.4259259259259,9,3,1
56024,36,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1556.2222222222222,9,1,2
92322,41,4,1,1,1,2,1,Fully Furnished,1.0,1.0,1,1,1,1,1,2,2251.756097560976,10,1,2
134829,86,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1567.7790697674418,9,3,0
128324,86,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1492.139534883721,9,3,0
102908,80,5,3,1,1,2,1,Fully Furnished,4.4,120.0,1,1,1,1,1,2,1286.35,10,3,0
93803,57,5,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1645.6666666666667,9,2,1
8667,25,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,1,1,0,0,346.68,5,0,2
108006,58,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1862.1724137931035,9,2,1
93911,55,4,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1707.4727272727273,10,2,1
40855,39,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1047.5641025641025,9,1,2
71880,48,4,2,1,1,2,1,Semi Furnished,4.4,11.0,1,1,1,1,1,1,1497.5,10,1,2
52629,41,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1283.6341463414635,9,1,2
2679,21,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,0,1,0,0,0,127.57142857142857,3,0,2
67851,38,2,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1785.5526315789473,9,1,2
90827,49,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1853.6122448979593,10,1,2
4120,12,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,1,0,1,1,0,343.3333333333333,5,0,2
101963,117,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,871.4786324786324,9,3,1
15510,23,1,1,1,1,0,1,Unfurnished,3.9,87.0,1,1,0,1,1,0,674.3478260869565,7,0,2
82860,51,3,1,1,1,1,1,Fully Furnished,4.4,165.0,1,1,1,1,1,2,1624.7058823529412,9,2,1
141252,78,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1810.923076923077,9,3,0
124737,51,5,3,1,1,2,1,Fully Furnished,3.9,87.0,1,1,1,1,1,2,2445.823529411765,10,2,1
91198,58,4,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1572.3793103448277,10,2,2
22591,25,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,0,1,1,0,903.64,5,0,2
4608,17,0,1,0,0,0,0,Unfurnished,4.3,66.5,1,1,1,1,0,0,271.05882352941177,4,0,2
38303,31,2,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1235.5806451612902,9,1,2
9602,16,1,1,1,1,0,0,Unfurnished,4.5,152.0,1,1,1,1,0,0,600.125,6,0,2
68650,45,4,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1525.5555555555557,9,1,2
97370,49,3,2,1,1,2,1,Fully Furnished,4.5,839.0,1,1,1,1,1,2,1987.142857142857,10,1,2
119928,61,5,3,1,1,1,1,Fully Furnished,4.3,192.0,1,1,1,1,1,2,1966.032786885246,9,2,1
132208,54,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2448.296296296296,10,2,1
149170,87,6,3,1,1,1,1,Fully Furnished,4.5,13.0,1,1,1,1,1,2,1714.5977011494253,9,3,0
55890,37,4,2,1,1,1,1,Semi Furnished,4.0,3.0,1,1,1,1,1,1,1510.5405405405406,9,1,2
82387,55,5,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1497.9454545454546,10,2,2
94994,48,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1979.0416666666667,10,1,2
2838,18,1,1,1,0,0,0,Unfurnished,4.5,839.0,1,0,1,1,1,0,157.66666666666666,5,0,2
74890,59,3,2,1,1,1,1,Semi Furnished,4.3,396.0,1,1,1,1,1,1,1269.322033898305,9,2,1
