Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Furnishing,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,furnishing_label
103657,85,4,2,1,1,2,1,Fully Furnished,4,136,1,1,1,1,1,2
11265,23,1,1,1,1,0,0,Unfurnished,,,1,0,0,1,0,0
65151,38,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
7669,21,0,1,1,0,0,0,Unfurnished,,,1,0,1,0,1,0
146511,85,5,3,1,1,1,1,Fully Furnished,4,11,1,1,1,1,1,2
46149,31,1,1,1,1,1,1,Semi Furnished,4.5,6377,1,1,0,1,1,1
14699,20,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,1,0,1,0
46275,39,1,1,1,1,1,1,Semi Furnished,4.5,152,1,1,0,1,1,1
5382,19,0,1,0,1,0,0,Unfurnished,,,0,0,1,1,0,0
75504,42,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
75967,58,3,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
32654,33,2,1,1,1,0,1,Unfurnished,,,1,0,1,0,0,0
94442,52,4,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
53677,38,3,1,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
93334,53,5,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
27373,33,2,1,1,1,0,0,Unfurnished,,,1,1,0,1,1,0
62340,42,2,2,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
20222,32,1,1,1,1,0,1,Unfurnished,,,1,0,1,1,1,0
100784,86,4,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
9439,20,1,1,0,1,0,0,Unfurnished,,,1,1,1,0,1,0
140663,79,4,3,1,1,2,1,Fully Furnished,4.5,348,1,1,1,1,1,2
116138,90,6,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
144430,83,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
114869,63,6,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
20631,33,2,1,1,1,0,0,Unfurnished,4.7,185,1,1,0,0,0,0
19926,26,0,1,1,1,0,0,Unfurnished,,,0,1,0,1,0,0
47540,31,2,2,1,1,0,1,Semi Furnished,,,1,0,1,1,1,1
68574,36,2,1,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
134770,96,5,3,1,1,2,1,Fully Furnished,5,2,1,1,1,1,1,2
89305,53,3,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
80070,49,3,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
53728,43,2,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
6502,25,1,1,1,0,0,0,Unfurnished,4.2,185,1,1,0,0,0,0
94886,48,4,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
47109,40,3,1,1,1,1,1,Semi Furnished,,,1,0,0,1,1,1
30361,28,1,1,1,1,0,1,Unfurnished,5,2,1,1,0,0,0,0
66767,37,3,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
107098,59,5,2,1,1,1,1,Fully Furnished,4.8,16,1,1,1,1,1,2
5810,23,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,1,1,1,0,0
103437,99,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
125408,53,6,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
139760,105,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
108438,60,6,2,1,1,2,1,Fully Furnished,5,1,1,1,1,1,1,2
11903,17,1,1,0,0,0,0,Unfurnished,,,0,1,1,1,0,0
66284,36,2,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
81988,60,5,2,1,1,2,1,Fully Furnished,4.6,8478,1,1,1,1,1,2
96914,50,4,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
9795,17,1,1,1,0,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0
68804,42,3,1,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
98193,58,3,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
129050,108,5,2,1,1,1,1,Fully Furnished,4.4,165,1,1,1,1,1,2
113826,78,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
60813,44,3,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
109888,96,5,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
119450,94,6,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
89612,58,3,1,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
112477,68,4,2,1,1,2,1,Fully Furnished,4.1,36,1,1,1,1,1,2
22225,30,1,1,1,1,0,0,Unfurnished,,,1,1,0,1,0,0
103192,90,4,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
139587,77,5,2,1,1,2,1,Fully Furnished,5,3,1,1,1,1,1,2
93483,53,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
81828,56,3,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
9297,24,0,1,0,0,0,0,Unfurnished,,,0,1,1,0,0,0
3344,13,1,1,0,0,0,0,Unfurnished,,,1,0,1,1,1,0
114855,113,5,2,1,1,1,1,Fully Furnished,4.7,185,1,1,1,1,1,2
48446,40,3,1,1,1,1,1,Semi Furnished,4.5,839,1,1,0,1,1,1
148821,95,4,3,1,1,1,1,Fully Furnished,4.5,75,1,1,1,1,1,2
93879,41,3,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
141983,89,5,2,1,1,1,1,Fully Furnished,4.4,44,1,1,1,1,1,2
112936,115,5,2,1,1,2,1,Fully Furnished,4.3,375,1,1,1,1,1,2
70195,46,3,2,1,1,2,1,Semi Furnished,,,1,1,1,1,1,1
99236,48,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
119020,118,5,3,1,1,1,1,Fully Furnished,4.2,33,1,1,1,1,1,2
6264,18,0,1,0,1,0,0,Unfurnished,,,0,1,0,0,1,0
53580,45,2,1,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
88503,45,4,1,1,1,2,1,Fully Furnished,4.2,35,1,1,1,1,1,2
133786,56,5,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
132215,78,4,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
113297,80,6,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
37086,30,2,2,1,1,0,1,Semi Furnished,4.6,16,1,1,1,1,1,1
102388,59,5,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
88192,60,4,1,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
21056,28,1,1,1,1,0,0,Unfurnished,,,1,1,0,1,1,0
109640,113,5,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
126298,108,4,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
56024,36,3,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
92322,41,4,1,1,1,2,1,Fully Furnished,1,1,1,1,1,1,1,2
134829,86,5,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
128324,86,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
102908,80,5,3,1,1,2,1,Fully Furnished,4.4,120,1,1,1,1,1,2
93803,57,5,1,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
8667,25,1,1,1,1,0,0,Unfurnished,,,1,0,1,1,0,0
108006,58,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
93911,55,4,1,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
40855,39,3,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
71880,48,4,2,1,1,2,1,Semi Furnished,4.4,11,1,1,1,1,1,1
52629,41,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
2679,21,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,0,1,0,0,0
67851,38,2,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
90827,49,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
4120,12,0,1,1,1,0,0,Unfurnished,,,0,1,0,1,1,0
101963,117,6,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
15510,23,1,1,1,1,0,1,Unfurnished,3.9,87,1,1,0,1,1,0
82860,51,3,1,1,1,1,1,Fully Furnished,4.4,165,1,1,1,1,1,2
141252,78,6,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
124737,51,5,3,1,1,2,1,Fully Furnished,3.9,87,1,1,1,1,1,2
91198,58,4,1,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
22591,25,1,1,1,1,0,0,Unfurnished,,,1,0,0,1,1,0
4608,17,0,1,0,0,0,0,Unfurnished,4.3,66.5,1,1,1,1,0,0
38303,31,2,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
9602,16,1,1,1,1,0,0,Unfurnished,4.5,152,1,1,1,1,0,0
68650,45,4,2,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
97370,49,3,2,1,1,2,1,Fully Furnished,4.5,839,1,1,1,1,1,2
119928,61,5,3,1,1,1,1,Fully Furnished,4.3,192,1,1,1,1,1,2
132208,54,5,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
149170,87,6,3,1,1,1,1,Fully Furnished,4.5,13,1,1,1,1,1,2
55890,37,4,2,1,1,1,1,Semi Furnished,4,3,1,1,1,1,1,1
82387,55,5,1,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
94994,48,5,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
2838,18,1,1,1,0,0,0,Unfurnished,4.5,839,1,0,1,1,1,0
74890,59,3,2,1,1,1,1,Semi Furnished,4.3,396,1,1,1,1,1,1
46461,35,3,2,1,1,0,1,Semi Furnished,,,1,0,1,1,1,1
47780,40,1,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
108783,77,5,3,1,1,2,1,Fully Furnished,4.7,185,1,1,1,1,1,2
15035,26,0,1,1,1,0,0,Unfurnished,,,0,0,1,0,0,0
60235,44,4,2,1,1,1,1,Semi Furnished,4.3,65,1,1,1,1,1,1
123695,99,6,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
51020,35,4,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
74531,44,5,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
128250,84,6,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
119835,114,4,2,1,1,1,1,Fully Furnished,4,23,1,1,1,1,1,2
100934,89,6,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
74294,48,3,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
90833,41,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
26303,32,1,1,1,1,0,0,Unfurnished,4.2,85,1,1,1,0,1,0
8077,14,0,1,1,1,0,0,Unfurnished,4.6,16,1,1,0,1,1,0
27358,35,2,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,0,1,0,0
85074,41,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
80304,48,3,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
127937,61,5,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
72753,42,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
56812,40,2,1,1,1,1,1,Semi Furnished,4.2,85,1,1,1,1,1,1
96045,42,5,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
147799,79,6,3,1,1,2,1,Fully Furnished,4.5,152,1,1,1,1,1,2
15361,20,0,1,1,1,0,0,Unfurnished,,,1,0,1,0,0,0
105818,96,6,3,1,1,2,1,Fully Furnished,4.4,165,1,1,1,1,1,2
102045,72,4,3,1,1,1,1,Fully Furnished,4,23,1,1,1,1,1,2
15366,26,0,1,1,1,0,0,Unfurnished,,,0,0,0,0,1,0
31020,30,1,1,1,1,0,1,Unfurnished,,,1,1,0,0,1,0
126021,55,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
81160,43,4,1,1,1,1,1,Fully Furnished,4.3,396,1,1,1,1,1,2
52773,44,2,1,1,1,0,1,Semi Furnished,3.8,31,1,1,1,1,1,1
82021,42,3,2,1,1,2,1,Fully Furnished,4.3,396,1,1,1,1,1,2
86419,60,5,1,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
61361,42,2,1,1,1,0,1,Semi Furnished,4.3,396,1,1,1,1,1,1
87910,56,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
136833,98,6,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
32072,28,2,1,1,1,0,1,Unfurnished,,,1,0,1,0,1,0
32149,32,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,0,0,0
39056,35,1,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
60077,42,2,1,1,1,0,1,Semi Furnished,4.1,43,1,1,1,1,1,1
7672,24,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,1,1,0,1,0
128018,52,5,2,1,1,1,1,Fully Furnished,4.5,152,1,1,1,1,1,2
34677,31,2,1,1,1,0,1,Unfurnished,4.6,16,1,1,0,0,0,0
131605,59,4,2,1,1,1,1,Fully Furnished,4.7,185,1,1,1,1,1,2
126318,68,6,2,1,1,1,1,Fully Furnished,4.2,1574,1,1,1,1,1,2
61062,42,2,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
65179,44,3,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
87146,40,5,1,1,1,1,1,Fully Furnished,4.4,34,1,1,1,1,1,2
110617,74,4,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
24126,31,2,1,1,1,0,1,Unfurnished,4.4,25,1,0,0,1,0,0
149458,108,4,3,1,1,1,1,Fully Furnished,4.4,165,1,1,1,1,1,2
108100,53,4,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
43261,39,1,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
86565,41,3,1,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
34784,32,1,1,1,1,0,0,Unfurnished,,,1,0,1,0,0,0
126051,120,5,3,1,1,2,1,Fully Furnished,4.2,19,1,1,1,1,1,2
9198,25,0,1,1,0,0,0,Unfurnished,4.6,72,0,0,1,1,0,0
129185,51,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
132549,81,5,2,1,1,2,1,Fully Furnished,4.2,26,1,1,1,1,1,2
131335,71,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
126814,99,5,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
131059,73,6,2,1,1,1,1,Fully Furnished,4.3,375,1,1,1,1,1,2
18004,25,1,1,1,1,0,0,Unfurnished,,,0,0,1,1,0,0
99172,59,4,2,1,1,2,1,Fully Furnished,4.6,1872,1,1,1,1,1,2
69736,37,4,1,1,1,1,1,Semi Furnished,4.4,37,1,1,1,1,1,1
41406,30,3,2,1,1,0,1,Semi Furnished,4.4,37,1,0,0,1,1,1
100370,116,5,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
95975,54,3,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
31478,32,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,1,0
135112,69,5,3,1,1,2,1,Fully Furnished,4.4,14925,1,1,1,1,1,2
119958,85,6,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
52578,42,2,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
65910,45,4,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
82858,42,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
138138,104,6,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
136942,55,6,3,1,1,1,1,Fully Furnished,4.2,85,1,1,1,1,1,2
118711,104,6,2,1,1,1,1,Fully Furnished,4,3,1,1,1,1,1,2
132164,67,5,3,1,1,2,1,Fully Furnished,4.1,43,1,1,1,1,1,2
114479,58,6,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
90748,49,3,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
100721,81,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
104161,57,5,2,1,1,1,1,Fully Furnished,4.8,10,1,1,1,1,1,2
142410,114,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
18252,30,1,1,1,1,0,0,Unfurnished,,,1,0,1,1,0,0
98392,57,5,1,1,1,1,1,Fully Furnished,4.4,169,1,1,1,1,1,2
63372,42,2,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
46867,30,3,2,1,1,0,1,Semi Furnished,4.1,254,1,1,1,1,1,1
146801,106,6,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
71877,53,3,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
124226,59,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
73061,45,5,1,1,1,2,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
121132,55,4,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
122457,75,5,3,1,1,1,1,Fully Furnished,4.8,4,1,1,1,1,1,2
11358,25,0,1,0,1,0,0,Unfurnished,,,0,0,0,0,0,0
17699,26,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,0,0
108143,59,4,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
3942,16,0,1,1,0,0,0,Unfurnished,4.3,66.5,1,0,1,0,0,0
69619,45,2,2,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
49028,37,3,2,1,1,0,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1
